Time,mAmpere,mAmpereInt,Analog_A0,ValueA0Virtual,mAmpere3Raw,mAmpere4
2023-01-22 17:40:09,,0.0,,538.0,,
2023-01-22 17:40:07,,0.0,,540.0,,
2023-01-22 17:40:06,,0.0,,538.0,,
2023-01-22 17:40:04,,0.0,,540.0,,
2023-01-22 17:40:03,,0.0,,538.0,,
2023-01-22 17:40:01,,0.0,,540.0,,
2023-01-22 17:40:00,,0.0,,538.0,,
2023-01-22 17:39:58,,0.0,,540.0,,
2023-01-22 17:39:57,,0.0,,540.0,,
2023-01-22 17:39:55,,0.0,,540.0,,
2023-01-22 17:39:54,,0.0,,540.0,,
2023-01-22 17:39:52,,0.0,,540.0,,
2023-01-22 17:39:51,,0.0,,538.0,,
2023-01-22 17:39:49,,0.0,,540.0,,
2023-01-22 17:39:48,,0.0,,540.0,,
2023-01-22 17:39:47,,0.0,,538.0,,
2023-01-22 17:39:45,,0.0,,538.0,,
2023-01-22 17:39:44,,0.0,,538.0,,
2023-01-22 17:39:42,,0.0,,538.0,,
2023-01-22 17:39:41,,0.0,,540.0,,
2023-01-22 17:39:40,,0.0,,540.0,,
2023-01-22 17:39:38,,0.0,,540.0,,
2023-01-22 17:39:37,,0.0,,540.0,,
2023-01-22 17:39:35,,0.0,,538.0,,
2023-01-22 17:39:34,,0.0,,540.0,,
2023-01-22 17:39:33,,0.0,,540.0,,
2023-01-22 17:39:31,,0.0,,538.0,,
2023-01-22 17:39:30,,0.0,,538.0,,
2023-01-22 17:39:28,,0.0,,540.0,,
2023-01-22 17:39:27,,0.0,,538.0,,
2023-01-22 17:39:26,,0.0,,538.0,,
2023-01-22 17:39:24,,0.0,,538.0,,
2023-01-22 17:39:23,,0.0,,540.0,,
2023-01-22 17:39:21,,0.0,,540.0,,
2023-01-22 17:39:20,,0.0,,540.0,,
2023-01-22 17:39:18,,0.0,,540.0,,
2023-01-22 17:39:17,,0.0,,538.0,,
2023-01-22 17:39:16,,,,540.0,,
2023-01-22 17:39:15,,0.0,,,,
2023-01-22 17:39:14,,0.0,,540.0,,
2023-01-22 17:39:12,,0.0,,540.0,,
2023-01-22 17:39:11,,0.0,,540.0,,
2023-01-22 17:39:09,,0.0,,540.0,,
2023-01-22 17:39:08,,0.0,,540.0,,
2023-01-22 17:39:06,,0.0,,540.0,,
2023-01-22 17:39:05,,0.0,,538.0,,
2023-01-22 17:39:04,,0.0,,540.0,,
2023-01-22 17:39:02,,0.0,,538.0,,
2023-01-22 17:39:01,,0.0,,538.0,,
2023-01-22 17:38:59,,0.0,,538.0,,
2023-01-22 17:38:58,,0.0,,538.0,,
2023-01-22 17:38:57,,,,538.0,,
2023-01-22 17:38:56,,0.0,,,,
2023-01-22 17:38:55,,0.0,,538.0,,
2023-01-22 17:38:54,,0.0,,538.0,,
2023-01-22 17:38:52,,0.0,,540.0,,
2023-01-22 17:38:51,,0.0,,538.0,,
2023-01-22 17:38:49,,0.0,,540.0,,
2023-01-22 17:38:48,,0.0,,538.0,,
2023-01-22 17:38:46,,0.0,,540.0,,
2023-01-22 17:38:45,,0.0,,540.0,,
2023-01-22 17:38:44,,0.0,,540.0,,
2023-01-22 17:38:42,,0.0,,540.0,,
2023-01-22 17:38:41,,,,538.0,,
2023-01-22 17:38:40,,0.0,,,,
2023-01-22 17:38:39,,0.0,,540.0,,
2023-01-22 17:38:38,,0.0,,540.0,,
2023-01-22 17:38:36,,0.0,,538.0,,
2023-01-22 17:38:35,,0.0,,540.0,,
2023-01-22 17:38:33,,0.0,,538.0,,
2023-01-22 17:38:32,,0.0,,540.0,,
2023-01-22 17:38:31,,0.0,,540.0,,
2023-01-22 17:38:29,,0.0,,540.0,,
2023-01-22 17:38:28,,0.0,,540.0,,
2023-01-22 17:38:27,,0.0,,540.0,,
2023-01-22 17:38:25,,0.0,,538.0,,
2023-01-22 17:38:24,,0.0,,538.0,,
2023-01-22 17:38:22,,0.0,,538.0,,
2023-01-22 17:38:21,,0.0,,538.0,,
2023-01-22 17:38:19,,0.0,,540.0,,
2023-01-22 17:38:18,,0.0,,538.0,,
2023-01-22 17:38:17,,0.0,,540.0,,
2023-01-22 17:38:15,,0.0,,538.0,,
2023-01-22 17:38:14,,0.0,,540.0,,
2023-01-22 17:38:13,,0.0,,541.0,,
2023-01-22 17:38:11,,0.0,,540.0,,
2023-01-22 17:38:10,,0.0,,538.0,,
2023-01-22 17:38:08,,0.0,,538.0,,
2023-01-22 17:38:07,,0.0,,538.0,,
2023-01-22 17:38:05,,0.0,,540.0,,
2023-01-22 17:38:04,,0.0,,540.0,,
2023-01-22 17:38:02,,0.0,,540.0,,
2023-01-22 17:38:01,,0.0,,540.0,,
2023-01-22 17:37:59,,0.0,,538.0,,
2023-01-22 17:37:58,,0.0,,540.0,,
2023-01-22 17:37:57,,0.0,,540.0,,
2023-01-22 17:37:56,,,,538.0,,
2023-01-22 17:37:55,,0.0,,,,
2023-01-22 17:37:54,,0.0,,540.0,,
2023-01-22 17:37:53,,0.0,,538.0,,
2023-01-22 17:37:51,,0.0,,540.0,,
2023-01-22 17:37:50,,0.0,,538.0,,
2023-01-22 17:37:49,,,,540.0,,
2023-01-22 17:37:48,,0.0,,,,
2023-01-22 17:37:47,,0.0,,538.0,,
2023-01-22 17:37:46,,0.0,,540.0,,
2023-01-22 17:37:44,,0.0,,540.0,,
2023-01-22 17:37:43,,0.0,,538.0,,
2023-01-22 17:37:41,,0.0,,538.0,,
2023-01-22 17:37:40,,0.0,,538.0,,
2023-01-22 17:37:38,,0.0,,538.0,,
2023-01-22 17:37:37,,0.0,,540.0,,
2023-01-22 17:37:36,,,,538.0,,
2023-01-22 17:37:35,,0.0,,,,
2023-01-22 17:37:34,,0.0,,538.0,,
2023-01-22 17:37:33,,0.0,,540.0,,
2023-01-22 17:37:32,,,,538.0,,
2023-01-22 17:37:31,,0.0,,,,
2023-01-22 17:37:30,,0.0,,540.0,,
2023-01-22 17:37:29,,0.0,,540.0,,
2023-01-22 17:37:28,,,,540.0,,
2023-01-22 17:37:27,,0.0,,,,
2023-01-22 17:37:26,,0.0,,538.0,,
2023-01-22 17:37:25,,0.0,,540.0,,
2023-01-22 17:37:24,,,,540.0,,
2023-01-22 17:37:23,,0.0,,,,
2023-01-22 17:37:22,,0.0,,538.0,,
2023-01-22 17:37:21,,0.0,,540.0,,
2023-01-22 17:37:19,,0.0,,540.0,,
2023-01-22 17:37:18,,0.0,,541.0,,
2023-01-22 17:37:16,,0.0,,538.0,,
2023-01-22 17:37:15,,0.0,,538.0,,
2023-01-22 17:37:13,,0.0,,540.0,,
2023-01-22 17:37:12,,0.0,,540.0,,
2023-01-22 17:37:10,,0.0,,540.0,,
2023-01-22 17:37:09,,0.0,,540.0,,
2023-01-22 17:37:07,,0.0,,538.0,,
2023-01-22 17:37:06,,0.0,,538.0,,
2023-01-22 17:37:04,,0.0,,540.0,,
2023-01-22 17:37:03,,0.0,,538.0,,
2023-01-22 17:37:02,,0.0,,538.0,,
2023-01-22 17:37:00,,0.0,,538.0,,
2023-01-22 17:36:59,,0.0,,540.0,,
2023-01-22 17:36:58,,0.0,,540.0,,
2023-01-22 17:36:56,,0.0,,540.0,,
2023-01-22 17:36:55,,0.0,,540.0,,
2023-01-22 17:36:53,,0.0,,540.0,,
2023-01-22 17:36:52,,0.0,,538.0,,
2023-01-22 17:36:51,,0.0,,538.0,,
2023-01-22 17:36:49,,0.0,,540.0,,
2023-01-22 17:36:48,,0.0,,538.0,,
2023-01-22 17:36:47,,,,538.0,,
2023-01-22 17:36:46,,0.0,,,,
2023-01-22 17:36:45,,0.0,,538.0,,
2023-01-22 17:36:44,,,,540.0,,
2023-01-22 17:36:43,,0.0,,,,
2023-01-22 17:36:42,,0.0,,538.0,,
2023-01-22 17:36:41,,0.0,,540.0,,
2023-01-22 17:36:39,,0.0,,540.0,,
2023-01-22 17:36:38,,0.0,,540.0,,
2023-01-22 17:36:36,,0.0,,540.0,,
2023-01-22 17:36:35,,0.0,,538.0,,
2023-01-22 17:36:33,,0.0,,538.0,,
2023-01-22 17:36:32,,0.0,,538.0,,
2023-01-22 17:36:31,,0.0,,538.0,,
2023-01-22 17:36:29,,0.0,,538.0,,
2023-01-22 17:36:28,,0.0,,540.0,,
2023-01-22 17:36:27,,,,540.0,,
2023-01-22 17:36:26,,0.0,,,,
2023-01-22 17:36:25,,0.0,,538.0,,
2023-01-22 17:36:24,,0.0,,538.0,,
2023-01-22 17:36:23,,,,538.0,,
2023-01-22 17:36:22,,0.0,,,,
2023-01-22 17:36:21,,0.0,,540.0,,
2023-01-22 17:36:20,,0.0,,540.0,,
2023-01-22 17:36:18,,0.0,,540.0,,
2023-01-22 17:36:17,,0.0,,540.0,,
2023-01-22 17:36:15,,0.0,,538.0,,
2023-01-22 17:36:14,,0.0,,538.0,,
2023-01-22 17:36:13,,0.0,,541.0,,
2023-01-22 17:36:11,,0.0,,540.0,,
2023-01-22 17:36:10,,0.0,,540.0,,
2023-01-22 17:36:08,,0.0,,540.0,,
2023-01-22 17:36:07,,0.0,,540.0,,
2023-01-22 17:36:06,,,,540.0,,
2023-01-22 17:36:05,,0.0,,,,
2023-01-22 17:36:04,,0.0,,540.0,,
2023-01-22 17:36:03,,,,538.0,,
2023-01-22 17:36:02,,0.0,,,,
2023-01-22 17:36:01,,0.0,,540.0,,
2023-01-22 17:36:00,,0.0,,540.0,,
2023-01-22 17:35:58,,0.0,,540.0,,
2023-01-22 17:35:57,,0.0,,540.0,,
2023-01-22 17:35:55,,0.0,,540.0,,
2023-01-22 17:35:54,,0.0,,540.0,,
2023-01-22 17:35:53,,0.0,,540.0,,
2023-01-22 17:35:52,,0.0,,541.0,,
2023-01-22 17:35:50,,0.0,,540.0,,
2023-01-22 17:35:49,,0.0,,540.0,,
2023-01-22 17:35:48,,0.0,,540.0,,
2023-01-22 17:35:47,,0.0,,540.0,,
2023-01-22 17:35:45,,0.0,,540.0,,
2023-01-22 17:35:44,,0.0,,540.0,,
2023-01-22 17:35:42,,0.0,,538.0,,
2023-01-22 17:35:41,,0.0,,538.0,,
2023-01-22 17:35:39,,0.0,,538.0,,
2023-01-22 17:35:38,,0.0,,540.0,,
2023-01-22 17:35:36,,0.0,,538.0,,
2023-01-22 17:35:35,,0.0,,540.0,,
2023-01-22 17:35:33,,0.0,,538.0,,
2023-01-22 17:35:32,,0.0,,540.0,,
2023-01-22 17:35:31,,0.0,,540.0,,
